ID_IPEDS,YEAR,ENROLL_FTUG,GRANT_FEDERAL,GRANT_STATE,NETPRICE,PUBLIC,DEGREE_BACH,TYPE,TN_PROMISE
221236,2012,200,1050247,426595,7834,1,0,two-year public,0
221236,2013,237,1172458,451813,4456,1,0,two-year public,0
221236,2014,293,1398052,625713,7908,1,0,two-year public,0
221236,2015,416,1007557,558791,8587,1,0,two-year public,1
221254,2010,29,69750,93250,22370,0,1,four-year private,0
221254,2011,23,29925,70300,22375,0,1,four-year private,0
221254,2012,30,61400,72875,25638,0,1,four-year private,0
221254,2013,26,45750,70500,24571,0,1,four-year private,0
221254,2014,21,54550,64000,20759,0,1,four-year private,0
221254,2015,33,95521,82900,21288,0,1,four-year private,1
221281,2010,363,1578732,104890,6479,1,0,two-year public,0
221281,2011,321,1594316,624892,7050,1,0,two-year public,0
221281,2012,347,1700146,379392,7014,1,0,two-year public,0
221281,2013,257,1260211,493475,6768,1,0,two-year public,0
221281,2014,276,1365739,543152,7519,1,0,two-year public,0
221281,2015,256,1085552,552181,6074,1,0,two-year public,1
221333,2010,328,1091020,488482,9535,1,0,two-year public,0
221333,2011,236,606004,259430,9006,1,0,two-year public,0
221333,2012,238,651078,274224,9032,1,0,two-year public,0
221333,2013,237,637607,242797,7110,1,0,two-year public,0
221333,2014,235,510572,310423,7471,1,0,two-year public,0
221333,2015,269,661648,465240,6912,1,0,two-year public,1
221351,2010,499,495013,631250,25540,0,1,four-year private,0
221351,2011,545,611850,759000,27273,0,1,four-year private,0
221351,2012,554,494010,761750,27755,0,1,four-year private,0
221351,2013,545,456698,666500,28615,0,1,four-year private,0
221351,2014,507,467550,547700,29659,0,1,four-year private,0
221351,2015,562,422728,626500,29839,0,1,four-year private,1
221388,2010,147,461279,5493,7527,1,0,two-year public,0
221388,2011,174,562063,4000,8304,1,0,two-year public,0
221388,2012,188,667288,236000,6411,1,0,two-year public,0
221388,2013,162,526697,247000,7291,1,0,two-year public,0
221388,2014,130,639459,179008,7063,1,0,two-year public,0
221388,2015,106,522525,192000,5902,1,0,two-year public,1
221397,2010,1217,3437324,1630837,8036,1,0,two-year public,0
221397,2011,1068,2945243,1759339,8280,1,0,two-year public,0
221397,2012,916,2343974,1533618,8620,1,0,two-year public,0
221397,2013,886,2153055,1400711,8848,1,0,two-year public,0
221397,2014,854,1949438,1400145,9150,1,0,two-year public,0
221397,2015,1105,2963133,3310663,7849,1,0,two-year public,1
221430,2010,294,869852,469800,4633,1,0,two-year public,0
221430,2011,236,870750,423240,5221,1,0,two-year public,0
221430,2012,259,813600,392748,6164,1,0,two-year public,0
221430,2013,284,794056,385905,6533,1,0,two-year public,0
221430,2014,245,820400,348800,6926,1,0,two-year public,0
221430,2015,290,936986,327599,7180,1,0,two-year public,1
221485,2010,1798,6203854,772382,3531,1,0,two-year public,0
221485,2011,1844,5570112,820473,5571,1,0,two-year public,0
221485,2012,1278,4352873,815976,5121,1,0,two-year public,0
221485,2013,1394,4374025,957043,5126,1,0,two-year public,0
221485,2014,1430,4711013,1162576,4375,1,0,two-year public,0
221485,2015,2167,6555367,3451105,3927,1,0,two-year public,1
221494,2010,531,508572,535598,7298,1,0,two-year public,0
221494,2011,621,595030,626650,5956,1,0,two-year public,0
221494,2012,464,500116,584184,6256,1,0,two-year public,0
221494,2013,440,475111,554975,6349,1,0,two-year public,0
221494,2014,390,513469,424800,5901,1,0,two-year public,0
221494,2015,509,971155,615826,10471,1,0,two-year public,1
221519,2010,401,371880,439470,23851,0,1,four-year private,0
221519,2011,433,394011,538000,24172,0,1,four-year private,0
221519,2012,453,469476,527030,25994,0,1,four-year private,0
221519,2013,488,497490,451325,25414,0,1,four-year private,0
221519,2014,466,464382,502850,29239,0,1,four-year private,0
221519,2015,469,389301,444900,30726,0,1,four-year private,1
221582,2010,336,887243,323161,5688,1,0,two-year public,0
221582,2011,239,742421,279215,5935,1,0,two-year public,0
221582,2012,168,496469,173290,6461,1,0,two-year public,0
221582,2013,179,576043,294000,6598,1,0,two-year public,0
221582,2014,149,489336,193932,8317,1,0,two-year public,0
221582,2015,142,490746,39123,7202,1,0,two-year public,1
221591,2010,147,664096,246829,7768,1,0,two-year public,0
221591,2011,279,1316613,331298,9389,1,0,two-year public,0
221591,2012,232,941155,423006,10404,1,0,two-year public,0
221591,2013,235,1028864,363618,9610,1,0,two-year public,0
221591,2014,180,790492,265055,9700,1,0,two-year public,0
221591,2015,259,1000728,644518,9929,1,0,two-year public,1
221607,2010,189,422584,218758,7230,1,0,two-year public,0
221607,2011,115,247038,122268,8543,1,0,two-year public,0
221607,2012,118,307234,141493,9773,1,0,two-year public,0
221607,2013,101,243038,134225,9653,1,0,two-year public,0
221607,2014,93,253429,168169,8928,1,0,two-year public,0
221607,2015,93,206999,138873,10272,1,0,two-year public,1
221616,2010,641,2416556,1211888,5477,1,0,two-year public,0
221616,2011,474,1786342,803777,6074,1,0,two-year public,0
221616,2012,541,2134497,1101000,8400,1,0,two-year public,0
221616,2013,383,1376600,712000,8504,1,0,two-year public,0
221616,2014,534,1520340,938000,7845,1,0,two-year public,0
221616,2015,550,2029764,1067618,7986,1,0,two-year public,1
221625,2010,650,980558,656347,5494,1,0,two-year public,0
221625,2011,442,1038399,623503,4198,1,0,two-year public,0
221625,2012,491,1170038,677753,6538,1,0,two-year public,0
221625,2013,539,1463465,547666,5749,1,0,two-year public,0
221625,2014,641,2026788,453947,4877,1,0,two-year public,0
